142,1153,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
143,1154,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
144,1155,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
145,1160,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
146,1163,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
147,1168,2017-01-30,2017-02-01,2017-06-30,17342675,,,,CI
148,1185,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
149,1186,2017-01-30,2017-02-01,2017-11-30,14914500,,,,CI
150,1187,2017-01-30,2017-02-01,2017-12-15,23863200,,,,CI
151,1190,2017-01-30,2017-02-01,2017-09-09,17420136,2017-12-15,"$8.710.068,00",,CI
152,1198,2017-01-30,2017-02-01,2017-09-09,17420136,2017-12-15,"$8.710.068,00",,CI
153,1200,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
154,1296,2017-02-01,2017-02-01,2017-06-30,17342675,,,,CI
155,1301,2017-02-01,2017-02-01,2017-11-30,34685350,,,,CI
156,1304,2017-02-01,2017-02-01,2017-12-15,36419617,,,,CI
157,1320,2017-02-01,2017-02-01,2017-07-31,30000000,,,,SPI
158,1322,2017-02-01,2017-02-01,2017-11-30,34685350,,,,CI
159,1324,2017-02-01,2017-02-01,2017-12-15,36419617,,,,CI
160,1325,2017-02-01,2017-02-01,2017-09-10,25435923,2017-12-15,"$10.983.694,00",,CI
161,1361,2017-02-01,2017-02-01,2017-12-15,36419617,,,,CI
162,1470,2017-02-02,2017-02-06,2017-12-15,35841528,,,,CI
163,1483,2017-02-02,2017-02-06,2017-12-15,35841528,,,,CI
164,1484,2017-02-02,2017-02-06,2017-11-30,34107261,,,,CI
165,1485,2017-02-02,2017-02-06,2017-11-30,26560945,,,,CI
166,1515,2017-02-02,2017-02-06,2017-11-30,34107261,,,,CI
167,1520,2017-02-02,2017-02-06,2017-12-15,35841528,,,,CI
168,1521,2017-02-02,2017-02-06,2017-11-30,26560945,,,,CI
169,1525,2017-02-02,2017-02-06,2017-12-15,35841528,,,,CI
170,1537,2017-02-02,2017-02-06,2017-12-15,35841528,,,,CI
171,1538,2017-02-02,2017-02-06,2017-09-10,19357977,2017-11-30,"$7.202.968,00",,CI
172,1539,2017-02-02,2017-02-06,2017-09-10,19357977,2017-11-30,"$7.202.968,00",,CI
173,1547,2017-02-02,2017-02-06,2017-08-31,23701656,2017-11-30,"$10.405.605,00",,TV
174,1548,2017-02-02,2017-02-06,2017-12-08,35032204,,,,CI
175,1638,2017-02-03,2017-02-06,2017-07-30,20233121,,,,CI
176,1722,2017-02-06,2017-02-07,2017-06-30,16648968,,,,CI
177,1723,2017-02-06,2017-02-07,2017-12-15,35725910,,,,CI
178,1724,2017-02-06,2017-02-07,2017-11-30,33991643,,,,CI
179,1743,2017-02-06,2017-02-08,2017-11-30,33876025,,,,CI
180,1744,2017-02-06,2017-02-08,2017-11-21,32835465,,,,CI
181,1871,2017-02-09,,,,,,ANULADO,CI
182,1937,2017-02-13,2017-02-14,2017-05-12,16106667,,,LIQUIDADO,SPGBA
183,1938,2017-02-14,2017-02-16,2017-04-17,34685350,,,LIQUIDADO,CI
184,2007,2017-02-16,2017-02-17,2017-12-29,13056795,,,,SPI
185,2008,2017-02-16,2017-02-17,2017-12-15,34569732,,,,CI
186,2009,2017-02-16,2017-02-17,2017-11-30,32835465,,,,CI
187,2047,2017-02-17,2017-02-20,2017-12-29,16533333,,,,SPI
188,2068,2017-02-20,2017-02-21,2017-12-29,16480000,,,,SPI
189,2155,2017-02-24,2017-03-01,2017-08-31,20811210,2017-11-30,"$10.405.605,00",,TV
190,2158,2017-02-24,2017-03-01,2017-12-30,23721720,,,,SPI
191,2177,2017-02-28,2017-03-01,2017-11-30,31216815,,,,CI
192,2181,2017-02-28,2017-03-01,2017-07-31,17500000,2017-10-15,"$8.750.000,00",,SPI
193,2182,2017-02-28,2017-03-01,2017-09-10,17107049,2017-11-30,"$7.202.968,00",,CI
194,2183,2017-02-28,2017-03-01,2017-11-30,31216815,,,,CI
195,2184,2017-02-28,2017-03-01,2017-08-22,19886267,,,,CI
196,2196,2017-02-28,2017-03-01,2017-07-31,17500000,2017-10-15,"$8.750.000,00",,SPI
197,2264,2017-03-07,2017-03-08,2017-08-31,20001885,2017-11-26,"$9.943.133,00",,CI
198,2265,2017-03-07,2017-03-08,2017-11-30,30407490,,,,CI
199,2266,2017-03-07,2017-03-08,2017-08-31,20001885,2017-11-26,"$9.943.133,00",,CI
200,2274,2017-03-08,2017-03-09,2017-08-31,19886267,2017-11-25,"$9.943.133,00",,CI
201,2287,2017-03-10,2017-03-13,2017-08-31,19423796,2017-11-24,"$9.711.898,00",,CI
202,2309,2017-03-15,2017-03-16,2017-11-30,10200000,,,,SPI
203,2331,2017-03-22,2017-03-23,2017-11-19,9480000,,,,SPI
204,2401,2017-04-04,2017-04-05,2017-12-29,14575000,,,,SPI
205,2468,2017-04-19,2017-04-24,2017-08-31,15030318,,,,CI
206,2474,2017-04-20,2017-04-21,2017-08-19,13883333,,,,SPI
207,2476,2017-04-20,2017-04-21,2017-11-28,25204688,,,,CI
208,2479,2017-04-24,2017-04-25,2017-12-08,25898395,,,,CI
209,2499,2017-04-25,2017-04-26,2017-12-29,20386200,,,,SPI
210,2639,2017-05-24,0017-05-25,2017-05-25,22661095,,,,CI
211,2653,2017-05-31,2017-06-01,2017-12-15,10400000,,,,SPGBA
212,2654,2017-05-31,2017-06-01,2017-11-23,20001885,,,,CI
